source,source_split,task_id,context_group
bird_mini_sqlite,mini_dev_sqlite,1471,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1472,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1473,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1476,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1479,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1480,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1481,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1482,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1483,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1484,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1486,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1490,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1493,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1498,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1500,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1501,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1505,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1506,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1507,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1509,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1514,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1515,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1521,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1524,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1525,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1526,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1528,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1529,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1531,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1533,debit_card_specializing
bird_mini_sqlite,mini_dev_sqlite,1312,student_club
bird_mini_sqlite,mini_dev_sqlite,1317,student_club
bird_mini_sqlite,mini_dev_sqlite,1322,student_club
bird_mini_sqlite,mini_dev_sqlite,1323,student_club
bird_mini_sqlite,mini_dev_sqlite,1331,student_club
bird_mini_sqlite,mini_dev_sqlite,1334,student_club
bird_mini_sqlite,mini_dev_sqlite,1338,student_club
bird_mini_sqlite,mini_dev_sqlite,1339,student_club
bird_mini_sqlite,mini_dev_sqlite,1340,student_club
bird_mini_sqlite,mini_dev_sqlite,1344,student_club
bird_mini_sqlite,mini_dev_sqlite,1346,student_club
bird_mini_sqlite,mini_dev_sqlite,1350,student_club
bird_mini_sqlite,mini_dev_sqlite,1351,student_club
bird_mini_sqlite,mini_dev_sqlite,1352,student_club
bird_mini_sqlite,mini_dev_sqlite,1356,student_club
bird_mini_sqlite,mini_dev_sqlite,1357,student_club
bird_mini_sqlite,mini_dev_sqlite,1359,student_club
bird_mini_sqlite,mini_dev_sqlite,1361,student_club
bird_mini_sqlite,mini_dev_sqlite,1362,student_club
bird_mini_sqlite,mini_dev_sqlite,1368,student_club
bird_mini_sqlite,mini_dev_sqlite,1371,student_club
bird_mini_sqlite,mini_dev_sqlite,1375,student_club
bird_mini_sqlite,mini_dev_sqlite,1376,student_club
bird_mini_sqlite,mini_dev_sqlite,1378,student_club
bird_mini_sqlite,mini_dev_sqlite,1380,student_club
bird_mini_sqlite,mini_dev_sqlite,1381,student_club
bird_mini_sqlite,mini_dev_sqlite,1387,student_club
bird_mini_sqlite,mini_dev_sqlite,1389,student_club
bird_mini_sqlite,mini_dev_sqlite,1390,student_club
bird_mini_sqlite,mini_dev_sqlite,1392,student_club
bird_mini_sqlite,mini_dev_sqlite,1394,student_club
bird_mini_sqlite,mini_dev_sqlite,1398,student_club
bird_mini_sqlite,mini_dev_sqlite,1399,student_club
bird_mini_sqlite,mini_dev_sqlite,1401,student_club
bird_mini_sqlite,mini_dev_sqlite,1403,student_club
bird_mini_sqlite,mini_dev_sqlite,1404,student_club
bird_mini_sqlite,mini_dev_sqlite,1405,student_club
bird_mini_sqlite,mini_dev_sqlite,1409,student_club
bird_mini_sqlite,mini_dev_sqlite,1410,student_club
bird_mini_sqlite,mini_dev_sqlite,1411,student_club
bird_mini_sqlite,mini_dev_sqlite,1422,student_club
bird_mini_sqlite,mini_dev_sqlite,1426,student_club
bird_mini_sqlite,mini_dev_sqlite,1427,student_club
bird_mini_sqlite,mini_dev_sqlite,1432,student_club
bird_mini_sqlite,mini_dev_sqlite,1435,student_club
bird_mini_sqlite,mini_dev_sqlite,1457,student_club
bird_mini_sqlite,mini_dev_sqlite,1460,student_club
bird_mini_sqlite,mini_dev_sqlite,1464,student_club
bird_mini_sqlite,mini_dev_sqlite,1149,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1150,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1152,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1153,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1155,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1156,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1157,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1162,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1164,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1166,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1168,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1169,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1171,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1175,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1179,thrombosis_prediction
bird_mini_sqlite,mini_dev_sqlite,1185,thrombosis_prediction
